"Species name";"Taxonomic group";"Environment";"Pathway: main category
(according to CBD scheme)";"Pathway: subcategory 
(according to CBD scheme)";"Pathway: intentionality ";"Source of the record:
D = DAISIE
G = GISD/IASPMR";"Record concerns overlapping species (i.e. species with records in both databases: DAISIE and GISD/IASPMR)";"Record concerns species that is listed among 'Europe's Worst IAS' according to EEA (2007) Halting the loss of biodiversity by 2010: proposal for a first set of indicators to monitor progress in Europe. EEA Technical Report No. 11/2007. European Environment Agency, Copenhagen, DK.";"Record concerns species that is listed among the '100 of the Worst IAS' in DAISIE
(www.europe-aliens.org)";"Record concerns species that is listed among the '100 of the Worst IAS' in GISD
(www.iucngisd.org)"
"Carpophilus marginellus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus mutilatus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus nepos";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus obsoletus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Carpophilus obsoletus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus pilosellus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Carpophilus pilosellus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus quadrisignatus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Carpophilus quadrisignatus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus succisus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carpophilus zeaphilus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Carpophilus zeaphilus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carrichtera annua";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Carthamus glaucus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Carthamus lanatus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Carthamus lanatus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Carthamus lanatus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Carthamus lanatus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Carthamus tinctorius";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";;;;
"Carthamus tinctorius";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Carthamus tinctorius";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Carthamus tinctorius";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Cartodere australicus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Cartodere nodifer";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Carum carvi";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Carum carvi";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Carupa tenuipes";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Carya cordiformis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Carya ovata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Caryedon serratus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Caryophyllaeus fennica";"Invertebrates";"freshwater";"Escape from confinement";;"intentional";"D";;;;
"Caspiobdella fadejewi";"Invertebrates";"freshwater";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Cassiopeia andromeda";"Vertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Castanea crenata";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Castanea sativa";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Castanea sativa";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Castanea sativa";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Castanea sativa";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Castor canadensis";"Vertebrates";"multiple";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"D";"x";"x";;
"Castor canadensis";"Vertebrates";"multiple";"Escape from confinement";"Farmed animals";"intentional";"D";"x";"x";;
"Castor canadensis";"Vertebrates";"multiple";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";"x";"x";;
"Castor canadensis";"Vertebrates";"multiple";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";"x";"x";;
"Castor canadensis";"Vertebrates";"multiple";"Release in Nature";"Other release in nature";"intentional";"G";"x";"x";;
"Castor canadensis";"Vertebrates";"multiple";"Escape from confinement";"Farmed animals";"intentional";"G";"x";"x";;
"Casuarina cunninghamiana";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Casuarina equisetifolia";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Casuarina equisetifolia";"Plants";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;
"Casuarina equisetifolia";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";;;;
"Casuarina equisetifolia";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"G";;;;
"Casuarina verticillata";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Casuarius casuarius";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";;;;
"Catalpa bignonioides";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Catalpa bignonioides";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Catalpa bignonioides";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Catananche caerulea";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Catananche caerulea";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Catapodium rigidum";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Catapodium siculum";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Seed contaminant";"unintentional";"D";;;;
"Catharanthus roseus";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Cathartes aura";"Vertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;
"Cathartes aura";"Vertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;
"Cathartes aura";"Vertebrates";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catla catla";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"G";;;;
"Catops fuliginosus";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Catostomus catostomus";"Vertebrates";"freshwater";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Catostomus catostomus";"Vertebrates";"freshwater";"Release in nature";"Fishery in the wild";"intentional";"D";;;;
"Catostomus commersoni";"Vertebrates";"freshwater";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Catostomus commersoni";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";;;
"Catostomus commersoni";"Vertebrates";"freshwater";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";;;
"Catreus wallichii";"Vertebrates";"terrestrial";"Release in nature";"Hunting in the wild";"intentional";"D";"x";;;
"Catreus wallichii";"Vertebrates";"terrestrial";"Release in Nature";"Conservation introduction";"intentional";"G";"x";;;
"Caucalis bischofii";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Caucalis platycarpos";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Caulacanthus ustulatus";"Algae";"marine";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Caulerpa mexicana";"Algae";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Caulerpa racemosa";"Algae";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;"x";"x";
"Caulerpa racemosa";"Algae";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;"x";"x";
"Caulerpa racemosa";"Algae";"marine";"Escape from confinement";;"intentional";"D";;"x";"x";
"Caulerpa racemosa";"Algae";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;"x";"x";
"Caulerpa racemosa";"Algae";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;"x";"x";
"Caulerpa scalpelliformis";"Algae";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Aquaculture";"intentional";"D";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";;"intentional";"D";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Transport - Contaminant & Stowaway";"Angling/fishing aquaculture equipment";"unintentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"G";"x";"x";"x";"x"
"Caulerpa taxifolia";"Algae";"marine";"Transport - Contaminant & Stowaway";"Ship/boat hull fouling";"unintentional";"G";"x";"x";"x";"x"
"Caulerpa webbiana";"Algae";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Caulolatilus chrysops";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Caulolatilus chrysops";"Vertebrates";"marine";"Escape from confinement";"Botanical garden/zoo/aquaria";"intentional";"G";;;;
"Caulophilus oryzae";"Invertebrates";"terrestrial";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"D";;;;
"Cavia porcellus";"Vertebrates";"terrestrial";"Escape from confinement";"Pet/aquarium/terrarium species";"intentional";"D";;;;
"Cecropia peltata";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;"x"
"Cedrela odorata";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"G";;;;
"Cedrus atlantica";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Cedrus atlantica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Cedrus deodara";"Plants";"terrestrial";"Escape from confinement";"Forestry";"intentional";"D";;;;
"Cedrus deodara";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Cedrus libani";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Celastrus orbiculatus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";"x";;;
"Celastrus orbiculatus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";"x";;;
"Celastrus orbiculatus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";"x";;;
"Celastrus scandens";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Cellana rota";"Invertebrates";"marine";"Corridor";"Interconnected waterways/basins/seas";"unintentional";"D";;;;
"Celleporaria aperta";"Invertebrates";"marine";"Escape from confinement";;"intentional";"D";;;;
"Celleporaria aperta";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Celleporaria pilaefera";"Invertebrates";"marine";"Escape from confinement";;"intentional";"D";;;;
"Celleporaria pilaefera";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Celleporella carolinensis";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Other transport as stowaway";"unintentional";"D";;;;
"Celosia argentea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Celosia argentea";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Celosia argentea";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Celosia argentea";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Celtis australis";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"D";;;;
"Celtis australis";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Celtis australis";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Celtis caucasica";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";;;;
"Celtis occidentalis";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Celtis occidentalis";"Plants";"terrestrial";"Release in nature";"Landscape/flora/fauna improvement";"intentional";"D";;;;
"Celtodoryx ciocalyptoides";"Invertebrates";"marine";"Transport - Contaminant & Stowaway";"Food contaminant";"unintentional";"G";;;;
"Celtodoryx girardae";"Invertebrates";"marine";"Escape from confinement";"Aquaculture";"intentional";"D";;;;
"Cenchrus ciliaris";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"D";"x";;;
"Cenchrus ciliaris";"Plants";"terrestrial";"Escape from confinement";"Ornamental purpose";"intentional";"D";"x";;;
"Cenchrus ciliaris";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";"x";;;
"Cenchrus ciliaris";"Plants";"terrestrial";"Release in Nature";"Erosion control/ dune stabilization";"intentional";"G";"x";;;
"Cenchrus ciliaris";"Plants";"terrestrial";"Release in Nature";"Landscape/flora/fauna improvement";"intentional";"G";"x";;;
"Cenchrus clandestinus";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";;;;
"Cenchrus clandestinus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Cenchrus echinatus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";"x";;;
"Cenchrus echinatus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"People and their luggage/equipment";"unintentional";"G";"x";;;
"Cenchrus echinatus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Contaminant on animals (excluding parasites and species transported by host and vector)";"unintentional";"G";"x";;;
"Cenchrus echinatus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Machinery/equipment";"unintentional";"G";"x";;;
"Cenchrus incertus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;;;
"Cenchrus incertus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Cenchrus incertus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;;;
"Cenchrus longispinus";"Plants";"terrestrial";"Escape from confinement";;"intentional";"D";;"x";;
"Cenchrus longispinus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";;"unintentional";"D";;"x";;
"Cenchrus macrourus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Machinery/equipment";"unintentional";"G";;;;
"Cenchrus macrourus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Contaminant on animals (excluding parasites and species transported by host and vector)";"unintentional";"G";;;;
"Cenchrus macrourus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Cenchrus macrourus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Transportation of habitat material";"unintentional";"G";;;;
"Cenchrus polystachios";"Plants";"terrestrial";"Escape from confinement";"Agriculture";"intentional";"G";;;;
"Cenchrus polystachios";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Vehicles";"unintentional";"G";;;;
"Cenchrus polystachios";"Plants";"terrestrial";"Release in Nature";;"intentional";"G";;;;
"Cenchrus setaceus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"Contaminant on animals (excluding parasites and species transported by host and vector)";"unintentional";"G";;;;
"Cenchrus setaceus";"Plants";"terrestrial";"Escape from confinement";"Horticulture ";"intentional";"G";;;;
"Cenchrus setaceus";"Plants";"terrestrial";"Transport - Contaminant & Stowaway";"People and their luggage/equipment";"unintentional";"G";;;;
